time,Nino34,WWV,NPMM,SPMM,IOB,IOD,SIOD,TNA,ATL3,SASD,month
1991-10-01,0.9931887,8.536783,0.24675317,-0.28655413,-0.058089763,0.31857452,0.3749359,-0.1879036,-0.72800535,0.07468415,10
1991-11-01,1.2463748,7.084437,0.26236245,-0.2102347,-0.04305711,0.2511488,0.93658954,-0.113098055,-0.9532666,0.65094864,11
1991-12-01,1.6705582,7.625407,0.04591386,0.26250023,-0.14077717,0.30999836,0.62603015,-0.12058011,-0.70483994,-0.0076628486,12
1992-01-01,1.7666681,6.2618966,-0.26405957,0.48466,-0.033446833,-0.39625725,0.57377607,0.045778222,-0.46382487,-0.079250135,1
1992-02-01,1.7194228,6.5644436,-0.22843745,0.58391213,-0.027567336,-0.5822261,0.11198071,0.18269938,0.0015058569,0.22649036,2
1992-03-01,1.3597367,2.104646,-0.09185391,0.6066519,-0.2811428,-0.97837126,-0.0072547607,-0.0037816002,-0.11191877,0.31343105,3
1992-04-01,1.170295,-1.587253,0.10709849,0.5184182,-0.12725165,-0.6137578,0.19049004,-0.11004928,-0.5777513,0.2715266,4
1992-05-01,0.975981,-5.038159,0.75551385,0.12927365,0.011769377,-0.31732625,-0.193562,-0.002246247,-1.2200918,0.28504094,5
1992-06-01,0.4369352,-7.5444956,0.7527012,-0.22773175,0.045711104,-0.12975375,-0.40419692,-0.12975875,-0.95581305,0.14902347,6
1992-07-01,0.24700654,-7.277878,0.6518737,-0.25628224,0.0032196292,-0.23802152,-0.37678108,-0.14217868,-0.7624065,0.10751498,7
1992-08-01,-0.0736183,-6.8249764,0.5312405,-0.17914848,-0.1708209,-0.63525295,-0.24186507,-0.24779826,-0.50855464,0.36879355,8
1992-09-01,-0.0812496,-4.360662,0.53225344,-0.06826784,-0.28126368,-0.79297644,-0.16501252,-0.3222362,-0.48080802,0.6201399,9
1992-10-01,-0.2178598,-2.897698,0.5877608,-0.048600037,-0.34666058,-0.68612915,0.065816104,-0.2886547,-0.5664713,0.69002795,10
1992-11-01,-0.1404575,-2.0089107,0.6194967,0.19294114,-0.27336225,-0.11003297,-0.017255519,-0.4083339,-0.61294866,0.54253936,11
1992-12-01,0.1829538,0.39489475,0.4133195,0.29683936,-0.32721543,0.024261054,-0.17301217,-0.37036964,-0.51295686,0.21903335,12
1993-01-01,0.27658072,-0.8162798,0.51059055,1.0321923,-0.19746275,0.10538775,-0.07484745,-0.29835138,-0.285539,-0.69790256,1
1993-02-01,0.23002584,-0.52713746,0.5720238,0.9370469,-0.13085817,0.123480424,0.6533646,-0.14830312,-0.36387745,-0.334164,2
1993-03-01,0.42432132,0.05597638,0.48053738,0.8045855,-0.30121118,-0.041651286,0.47585824,-0.06670228,-0.47963992,-0.43281627,3
1993-04-01,0.68775433,-0.45184574,0.4137562,0.58195746,-0.18800847,0.16418363,0.39098412,-0.020963475,-0.2382229,-0.50161654,4
1993-05-01,0.841266,-2.506632,0.452228,0.34293932,-0.029617975,0.5129551,0.15232152,-0.025126366,-0.18318668,-0.058676902,5
1993-06-01,0.64006954,-6.1296606,0.46089405,0.28210527,-0.055534884,0.08995952,0.1426466,0.0048176534,-0.17711757,0.42141575,6
1993-07-01,0.4363004,-7.4714937,0.30262718,0.0103003,-0.09143419,-0.017626764,0.03183766,-0.20438008,-0.15818709,0.082822286,7
1993-08-01,0.19936094,-6.97345,0.25408372,0.06333272,-0.12085276,-0.22087999,0.026220249,-0.1856089,0.09843068,0.13538124,8
1993-09-01,0.42840222,-3.6002023,0.25715172,0.15004542,-0.1320963,-0.39524832,0.034459677,-0.23091692,0.49620676,-0.27933776,9
1993-10-01,0.4929705,-4.167387,0.424056,0.28786898,-0.174944,-0.16132821,0.19124612,-0.3491973,0.61411315,-0.2863131,10
1993-11-01,0.4058484,-4.7466087,0.56450987,-0.011797486,-0.045614056,-0.14877082,0.2639118,-0.41038957,0.63906187,-0.46088007,11
1993-12-01,0.35217595,-5.2952394,0.38297462,-0.27877977,-0.13388672,-0.061849058,0.080088355,-0.48942932,0.33499935,0.10030317,12
1994-01-01,0.035175953,-6.6087933,0.50921535,0.0026603227,0.07039983,0.1209953,0.066160426,-0.53178525,0.27032605,0.3227403,1
1994-02-01,-0.026381915,-7.4862356,0.5899424,-0.5830814,-0.13339804,-0.095307,-0.009589396,-0.7201379,-0.13136664,0.057144444,2
1994-03-01,0.065134384,-6.4262757,0.6432576,-0.42891246,-0.11934457,0.5855134,0.3294502,-0.5311612,-0.103304245,-0.19134042,3
1994-04-01,0.08730636,-4.3991365,0.64573455,0.07722268,-0.14187886,0.5000811,0.29175034,-0.47981867,0.0846397,-0.6247724,4
1994-05-01,0.15178037,-3.2916067,0.40102035,0.06530754,-0.09819366,0.6939611,0.59391505,-0.6649324,-0.011388865,-0.31643894,5
1994-06-01,0.23404518,-3.5500436,0.37710628,0.095135204,-0.18102339,0.6709933,0.7273366,-0.6884101,-0.46875253,-0.029017387,6
1994-07-01,-0.00080962194,-2.6702137,0.50078243,0.17037848,-0.15771334,0.9068559,0.5821032,-0.62702644,-0.76695544,0.08462977,7
